Work No,Measurement date,Standing_Water_level (m),Easting,Longitude,Latitude,Northing,Drilled_De,Salinity,Elevation
GW405104,20/08/2006,3,582767,147.9035,-34.6828,6161757,24,NA,NA
GW400126,1/05/1996,0,583123,147.9074,-34.6819,6161859,NA,1632,NA
GW400128,1/05/1996,0,583162,147.9078,-34.6816,6161886,NA,6285,NA
GW400129,1/05/1996,0,583489,147.9111,-34.6536,6164991,NA,2886,NA
GW400137,1/05/1996,0,583874,147.9159,-34.704,6159396,NA,9120,NA
GW404080,27/08/2007,30,584093,147.9181,-34.6888,6161088,85,NA,NA
GW402856,2/11/2004,0,585887,147.9371,-34.6376,6166743,49.68,NA,0
GW400125,1/05/1996,0,586246,147.9417,-34.7018,6159625,NA,2624,NA
GW400724,20/05/1998,0,586344,147.9421,-34.6415,6166306,152.4,NA,NA
GW400566,3/04/1998,0,587084,147.951,-34.7147,6158183,4,NA,NA
GW400567,3/04/1998,0,587084,147.951,-34.7147,6158182,19,NA,NA
GW400565,2/04/1998,0,587147,147.9517,-34.7118,6158506,5,NA,NA
GW400132,1/05/1996,0,588570,147.9664,-34.645,6165896,NA,2912,NA
GW400131,1/05/1996,0,588570,147.9664,-34.645,6165896,NA,3014,NA
GW400134,1/05/1996,0,589089,147.9724,-34.6718,6162927,NA,4730,NA
GW065194,7/03/1988,0,589264,147.974,-34.6432,6166096,76.2,NA,0
GW403144,28/05/2005,4,589317,147.9746,-34.6455,6165832,27,NA,0
GW400133,1/05/1996,0,589413,147.9759,-34.6647,6163704,NA,3475,NA
GW400730,6/02/1998,0,589648,147.9777,-34.603,6170544,42.6,NA,NA
GW400135,1/05/1996,0,589895,147.9819,-34.7273,6156758,NA,5638,NA
GW400136,1/05/1996,0,589932,147.9823,-34.7277,6156714,NA,3520,NA
GW402805,16/08/2004,0,590386,147.9862,-34.6416,6166256,128,NA,0
GW402807,8/05/2004,0,590780,147.9905,-34.6431,6166093,79.24,NA,0
GW403627,26/05/2006,0,590904,147.9918,-34.6391,6166534,50.59,NA,NA
GW404074,1/11/2007,0,590923,147.9921,-34.6427,6166137,73.15,NA,NA
GW403307,26/07/2005,30,591078,147.9935,-34.6167,6169014,170,NA,0
GW402522,26/09/2003,0,591042,147.9935,-34.6521,6165084,79.24,NA,0
GW402657,24/12/2003,40,591559,147.9985,-34.5993,6170939,76,NA,0
GW404607,1/01/1955,10,591600,147.9989,-34.5966,6171238,120,NA,NA
GW400400,2/12/1997,24,591675,147.9998,-34.604,6170416,59,NA,NA
GW404978,3/04/2006,25,592043,148.004,-34.6164,6169039,180,NA,NA
GW400841,5/01/1999,0,592083,148.0043,-34.6095,6169804,41.45,NA,NA
GW066471,27/10/1989,0,592096,148.0045,-34.6143,6169272,NA,NA,380
GW400764,18/07/1998,0,592179,148.0055,-34.6187,6168783,85.34,NA,NA
GW403383,30/10/2005,0,592206,148.0058,-34.6187,6168784,109.7,NA,NA
GW401179,23/04/2000,0,592213,148.0059,-34.6196,6168684,57.28,NA,NA
GW403519,1/06/2004,0,592210,148.0059,-34.6229,6168315,121,NA,NA
GW403516,20/04/2006,21,592353,148.0076,-34.632,6167301,85,NA,NA
GW403651,10/11/2004,28,592453,148.0086,-34.628,6167743,85,NA,NA
GW400080,14/01/1997,0,592457,148.0087,-34.6334,6167143,95.09,NA,NA
GW402092,21/04/2002,0,592471,148.0089,-34.6352,6166950,188.97,NA,0
GW400438,8/01/1998,0,592558,148.0098,-34.6346,6167018,78.63,NA,NA
GW067525,9/01/1992,0,592604,148.0103,-34.6275,6167796,45.72,NA,0
GW402593,10/05/1993,4,592622,148.0105,-34.6297,6167557,25,NA,0
GW400888,7/12/1998,0,592639,148.0107,-34.6312,6167395,64,NA,NA
GW403931,12/03/2007,10,592720,148.0116,-34.6313,6167382,40,7.3,NA
GW403895,25/07/2007,10,592729,148.0116,-34.6306,6167457,40,160,NA
GW403056,15/07/2004,0,592804,148.0125,-34.6313,6167382,41.45,NA,0
