"Work.No","Measurement.date.x","Standing_Water_level..m..x","Easting.x","Longitude.x","Latitude.x","Northing.x","Measurement.date.y","Standing_Water_level..m..y","Easting.y","Longitude.y","Latitude.y","Northing.y","Drilled_De","Salinity","Elevation"
"GW007110","1/11/1996",0,"587,955",147.9595,-34.6296,"6,167,618",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007115","1/11/1996",0,"585,984",147.9382,-34.6393,"6,166,558",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007530","8/07/1998",2.2,"598,029",148.0687,-34.5718,"6,173,924",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","20/04/2004",2.75,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","20/03/2002",1.56,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","28/10/2003",1.34,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","24/10/2006",2.58,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","23/10/2001",0.8,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","3/04/2001",1.03,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","16/10/2002",1.05,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","20/10/2004",1.9,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","15/04/2003",13.2,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","12/04/2005",2.97,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","11/04/2006",2.62,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW007531","18/10/2005",1.3,"598,793",148.0773,-34.5937,"6,171,483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW011826","25/11/1996",2,"587,862",147.9618,-34.9087,"6,136,657",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","19/05/1983",3.63,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","16/02/1979",3.97,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","18/02/1983",5.18,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","19/03/1982",4.27,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","19/02/1985",1.1,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","19/02/1981",5.29,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","18/10/1983",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","19/05/1980",5.37,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","17/09/1979",4.67,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","17/06/1981",5.65,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","17/01/1980",5.02,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","19/06/1978",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","16/07/1979",4.58,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
