FID,Work_No,Measuremen,Standing_W,Easting,Longitude,Latitude,Northing,Muttama_Mr,Slope,swi1,dem,Lithology1,Lithology_
0,GW007110,1/11/1996 0:00:00,0.000000000000000,587955.000000000000000,147.959499999999990,-34.629600000000003,6167618.000000000000000,3,0.3930440,8.9589100,388,9,9
1,GW007115,1/11/1996 0:00:00,0.000000000000000,585984.000000000000000,147.938199999999990,-34.639299999999999,6166558.000000000000000,3,1.8378400,6.5029502,409,9,9
2,GW007530,8/07/1998 0:00:00,2.200000000000000,598029.000000000000000,148.068700000000010,-34.571800000000003,6173924.000000000000000,2,2.5435400,5.6463599,419,7,7
3,GW007531,20/04/2004 0:00:00,2.750000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
4,GW007531,20/03/2002 0:00:00,1.560000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
5,GW007531,28/10/2003 0:00:00,1.340000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
6,GW007531,24/10/2006 0:00:00,2.580000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
7,GW007531,23/10/2001 0:00:00,0.800000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
8,GW007531,3/04/2001 0:00:00,1.030000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
9,GW007531,16/10/2002 0:00:00,1.050000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
10,GW007531,20/10/2004 0:00:00,1.900000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
11,GW007531,15/04/2003 0:00:00,13.199999999999999,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
12,GW007531,12/04/2005 0:00:00,2.970000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
13,GW007531,11/04/2006 0:00:00,2.620000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
14,GW007531,18/10/2005 0:00:00,1.300000000000000,598793.000000000000000,148.077300000000010,-34.593699999999998,6171483.000000000000000,2,3.1840100,5.7307901,395,7,7
15,GW011826,25/11/1996 0:00:00,2.000000000000000,587862.000000000000000,147.961800000000010,-34.908700000000003,6136657.000000000000000,3,1.6650900,6.9900999,482,35,35
16,GW014595,19/05/1983 0:00:00,3.630000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
17,GW014595,16/02/1979 0:00:00,3.970000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
18,GW014595,18/02/1983 0:00:00,5.180000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
19,GW014595,19/03/1982 0:00:00,4.270000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
20,GW014595,19/02/1985 0:00:00,1.100000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
21,GW014595,19/02/1981 0:00:00,5.290000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
22,GW014595,18/10/1983 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
23,GW014595,19/05/1980 0:00:00,5.370000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
24,GW014595,17/09/1979 0:00:00,4.670000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
25,GW014595,17/06/1981 0:00:00,5.650000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
26,GW014595,17/01/1980 0:00:00,5.020000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
27,GW014595,19/06/1978 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
28,GW014595,16/07/1979 0:00:00,4.580000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
29,GW014595,24/04/1984 0:00:00,0.740000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
30,GW014595,16/02/1978 0:00:00,4.830000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
31,GW014595,15/10/1984 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
32,GW014595,15/09/1981 0:00:00,2.240000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
33,GW014595,15/02/1974 0:00:00,7.410000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
34,GW014595,16/10/1979 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
35,GW014595,27/05/1981 0:00:00,5.600000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
36,GW014595,13/01/1981 0:00:00,4.990000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
37,GW014595,15/01/1999 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
38,GW014595,31/10/1974 0:00:00,0.470000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
39,GW014595,29/08/1989 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
40,GW014595,29/08/1980 0:00:00,5.240000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
41,GW014595,29/06/1982 0:00:00,4.510000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
42,GW014595,29/05/1984 0:00:00,0.870000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
43,GW014595,23/07/1984 0:00:00,0.600000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
44,GW014595,28/09/1982 0:00:00,4.630000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
45,GW014595,20/04/1982 0:00:00,4.280000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
46,GW014595,26/03/1981 0:00:00,5.490000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
47,GW014595,26/02/1980 0:00:00,5.180000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
48,GW014595,25/11/1987 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
49,GW014595,25/05/1982 0:00:00,4.420000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
50,GW014595,24/03/1987 0:00:00,0.750000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
51,GW014595,23/07/1982 0:00:00,4.540000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
52,GW014595,22/09/1980 0:00:00,5.300000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
53,GW014595,21/12/1977 0:00:00,4.520000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
54,GW014595,29/01/1982 0:00:00,3.940000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
55,GW014595,14/12/1982 0:00:00,4.930000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
56,GW014595,8/07/1980 0:00:00,5.340000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
57,GW014595,6/11/1979 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
58,GW014595,6/08/1979 0:00:00,4.570000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
59,GW014595,5/10/1978 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
60,GW014595,5/05/1978 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
61,GW014595,4/10/1985 0:00:00,1.400000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
62,GW014595,4/04/1979 0:00:00,4.250000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
63,GW014595,8/11/1978 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
64,GW014595,3/12/1979 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
65,GW014595,3/01/1975 0:00:00,1.770000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
66,GW014595,2/12/1980 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
67,GW014595,13/04/1978 0:00:00,5.130000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
