OID_,Value,Count,LETT_SYMB
0,1,6287.000000000000000,Qa
0,2,1247.000000000000000,Sgyy
0,3,8720.000000000000000,Cj
0,4,376.000000000000000,Cju
0,5,44.000000000000000,Dhm
0,6,172.000000000000000,Dhb
0,7,7596.000000000000000,Sbs
0,8,373.000000000000000,Sfvy
0,9,15483.000000000000000,Sfv
0,10,2327.000000000000000,Dcc
0,11,342.000000000000000,Dccd
0,12,16.000000000000000,Dcm
0,13,2567.000000000000000,Sbd
0,14,63.000000000000000,Sba
0,15,730.000000000000000,Sbl
0,16,692.000000000000000,Sbv
0,17,1875.000000000000000,Qr/Sfv
0,18,4.000000000000000,Czs
0,19,12.000000000000000,Tf
0,20,522.000000000000000,Sgxi
0,21,27.000000000000000,Qr/Sgxi
0,22,1187.000000000000000,Cjw
0,23,31.000000000000000,Sbt
0,24,1905.000000000000000,Sws
0,25,394.000000000000000,Sc
0,26,604.000000000000000,Sglu
0,27,64.000000000000000,Qr/Sglu
0,28,147.000000000000000,Qa/Sglu
0,29,39.000000000000000,Snmd
0,30,664.000000000000000,Sbsf
0,31,349.000000000000000,Snm
0,32,424.000000000000000,Sh
0,33,136.000000000000000,So
0,34,446.000000000000000,Sgmy
0,35,217.000000000000000,Qr/Sgmy
0,36,49.000000000000000,So(Sh)
0,37,32.000000000000000,?Sbl
