cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Drilled.Depth,Salinity
30,-34.6296,147.9595,1996-11-16,53.59999999999991,1996-11-01,0,GW007110,1996-11-01,0,587955,6167618,388,0.393044,8.95891,3,Sfv,20.7,NA
30,-34.6393,147.9382,1996-11-16,53.59999999999991,1996-11-01,1,GW007115,1996-11-01,0,585984,6166558,409,1.83784,6.5029502,3,Sfv,30.8,NA
14,-34.5718,148.0687,1998-07-16,106.89999999999964,1998-07-01,2,GW007530,1998-07-08,2.2,598029,6173924,419,2.54354,5.6463599,2,Sbs,19.8,NA
24,-34.5937,148.0773,2004-04-16,4.299999999999727,2004-04-01,3,GW007531,2004-04-20,2.75,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2002-03-16,27.199999999999818,2002-03-01,4,GW007531,2002-03-20,1.56,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2003-10-16,51.899999999999636,2003-10-01,5,GW007531,2003-10-28,1.34,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2006-10-16,0,2006-10-01,6,GW007531,2006-10-24,2.58,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2001-10-16,51,2001-10-01,7,GW007531,2001-10-23,0.8,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2001-04-16,55.79999999999973,2001-04-01,8,GW007531,2001-04-03,1.03,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2002-10-16,1.199999999999818,2002-10-01,9,GW007531,2002-10-16,1.05,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2004-10-16,37.29999999999973,2004-10-01,10,GW007531,2004-10-20,1.9,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2003-04-16,31.699999999999818,2003-04-01,11,GW007531,2003-04-15,13.2,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2005-04-16,5.099999999999909,2005-04-01,12,GW007531,2005-04-12,2.97,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2006-04-16,15.799999999999727,2006-04-01,13,GW007531,2006-04-11,2.62,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
24,-34.5937,148.0773,2005-10-16,63,2005-10-01,14,GW007531,2005-10-18,1.3,598793,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
75,-34.9087,147.9618,1996-11-16,59.5,1996-11-01,15,GW011826,1996-11-25,2,587862,6136657,482,1.66509,6.9900999,3,Qr/Sgmy,0,NA
42,-34.7068,148.0804,1983-05-16,130.79999999999973,1983-05-01,16,GW014595,1983-05-19,3.63,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-02-15,4.299999999999727,1979-02-01,17,GW014595,1979-02-16,3.97,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1983-02-15,43,1983-02-01,18,GW014595,1983-02-18,5.18,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-03-16,107.69999999999982,1982-03-01,19,GW014595,1982-03-19,4.27,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1985-02-15,1,1985-02-01,20,GW014595,1985-02-19,1.1,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-02-15,76.19999999999982,1981-02-01,21,GW014595,1981-02-19,5.29,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1983-10-16,79.5,1983-10-01,22,GW014595,1983-10-18,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1980-05-16,96.59999999999991,1980-05-01,23,GW014595,1980-05-19,5.37,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-09-16,53,1979-09-01,24,GW014595,1979-09-17,4.67,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-06-16,123.79999999999973,1981-06-01,25,GW014595,1981-06-17,5.65,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1980-01-16,48.399999999999636,1980-01-01,26,GW014595,1980-01-17,5.02,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-06-16,61.5,1978-06-01,27,GW014595,1978-06-19,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-07-16,19.09999999999991,1979-07-01,28,GW014595,1979-07-16,4.58,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1984-04-16,109.19999999999982,1984-04-01,29,GW014595,1984-04-24,0.74,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-02-15,0.09999999999990905,1978-02-01,30,GW014595,1978-02-16,4.83,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1984-10-16,62.29999999999973,1984-10-01,31,GW014595,1984-10-15,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-09-16,28.5,1981-09-01,32,GW014595,1981-09-15,2.24,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1974-02-15,67.69999999999982,1974-02-01,33,GW014595,1974-02-15,7.41,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-10-16,31.299999999999727,1979-10-01,34,GW014595,1979-10-16,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-05-16,59.29999999999973,1981-05-01,35,GW014595,1981-05-27,5.6,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-01-16,55.19999999999982,1981-01-01,36,GW014595,1981-01-13,4.99,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1999-01-16,95.69999999999982,1999-01-01,37,GW014595,1999-01-15,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1974-10-16,187.79999999999973,1974-10-01,38,GW014595,1974-10-31,0.47,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1989-08-16,65.89999999999964,1989-08-01,39,GW014595,1989-08-29,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1980-08-16,46.399999999999636,1980-08-01,40,GW014595,1980-08-29,5.24,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-06-16,26.59999999999991,1982-06-01,41,GW014595,1982-06-29,4.51,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1984-05-16,17.299999999999727,1984-05-01,42,GW014595,1984-05-29,0.87,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1984-07-16,154.5,1984-07-01,43,GW014595,1984-07-23,0.6,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-09-16,48.29999999999973,1982-09-01,44,GW014595,1982-09-28,4.63,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-04-16,14.199999999999818,1982-04-01,45,GW014595,1982-04-20,4.28,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-03-16,13.899999999999636,1981-03-01,46,GW014595,1981-03-26,5.49,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1980-02-15,27.5,1980-02-01,47,GW014595,1980-02-26,5.18,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1987-11-16,21.699999999999818,1987-11-01,48,GW014595,1987-11-25,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-05-16,3,1982-05-01,49,GW014595,1982-05-25,4.42,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1987-03-16,48.69999999999982,1987-03-01,50,GW014595,1987-03-24,0.75,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-07-16,2.399999999999636,1982-07-01,51,GW014595,1982-07-23,4.54,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1980-09-16,37.19999999999982,1980-09-01,52,GW014595,1980-09-22,5.3,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1977-12-16,1.2999999999997272,1977-12-01,53,GW014595,1977-12-21,4.52,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-01-16,12.399999999999636,1982-01-01,54,GW014595,1982-01-29,3.94,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-12-16,20.59999999999991,1982-12-01,55,GW014595,1982-12-14,4.93,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1980-07-16,69.39999999999964,1980-07-01,56,GW014595,1980-07-08,5.34,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-11-16,23.899999999999636,1979-11-01,57,GW014595,1979-11-06,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-08-16,48.69999999999982,1979-08-01,58,GW014595,1979-08-06,4.57,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-10-16,44.29999999999973,1978-10-01,59,GW014595,1978-10-05,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-05-16,101.19999999999982,1978-05-01,60,GW014595,1978-05-05,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1985-10-16,56.09999999999991,1985-10-01,61,GW014595,1985-10-04,1.4,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-04-16,107.39999999999964,1979-04-01,62,GW014595,1979-04-04,4.25,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-11-16,59.29999999999973,1978-11-01,63,GW014595,1978-11-08,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-12-16,0,1979-12-01,64,GW014595,1979-12-03,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1975-01-16,36.399999999999636,1975-01-01,65,GW014595,1975-01-03,1.77,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1980-12-16,97.69999999999982,1980-12-01,66,GW014595,1980-12-02,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-04-16,28.199999999999818,1978-04-01,67,GW014595,1978-04-13,5.13,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-12-16,28.59999999999991,1981-12-01,68,GW014595,1981-12-01,3.31,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-12-16,75.29999999999973,1978-12-01,69,GW014595,1978-12-01,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-11-16,0.1999999999998181,1982-11-01,70,GW014595,1982-11-01,4.77,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-09-16,48.29999999999973,1982-09-01,71,GW014595,1982-09-01,4.61,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-06-16,10.299999999999727,1979-06-01,72,GW014595,1979-06-01,4.46,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-05-16,56.59999999999991,1979-05-01,73,GW014595,1979-05-01,4.35,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-01-16,15.299999999999727,1979-01-01,74,GW014595,1979-01-04,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1987-08-16,52.09999999999991,1987-08-01,75,GW014595,1987-08-13,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1985-08-16,139,1985-08-01,76,GW014595,1985-08-02,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1984-01-16,277.7999999999997,1984-01-01,77,GW014595,1984-01-09,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-09-16,141.0999999999999,1978-09-01,78,GW014595,1978-09-14,1.6,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
