cells,Latitude,Longitude,Date.x,Rainfall,MDate,Bore.ID,Easting,Northing,Date.y
44,-34.8243,148.0728,2015-06-16,69.29999999999973,2015-06-01,GW400561,597735,6146023,2015-06-10
44,-34.8241,148.0708,2015-06-16,69.29999999999973,2015-06-01,GW400560,597927,6145945,2015-06-10
44,-34.7819,148.0588,2015-06-16,69.29999999999973,2015-06-01,GW400563,596874,6150629,2015-06-10
44,-34.7849,148.0551,2015-06-16,69.29999999999973,2015-06-01,GW400564,596533,6150302,2015-06-10
38,-34.7435,148.1453,2015-06-16,69,2015-06-01,GW400552,604835,6154803,2015-06-10
38,-34.7403,148.1464,2015-06-16,69,2015-06-01,GW400555,604940,6155155,2015-06-10
4,-34.5693,148.0415,2015-06-16,65.29999999999973,2015-06-01,GW400550,595537,6174223,2015-06-12
4,-34.5696,148.0398,2015-06-16,65.29999999999973,2015-06-01,GW400551,595384,6174190,2015-06-12
4,-34.5701,148.0445,2015-06-16,65.29999999999973,2015-06-01,GW400548,595812,6174131,2015-06-12
17,-34.6536,147.9111,2015-06-16,66.29999999999973,2015-06-01,GW400129,583489,6164991,2015-06-11
17,-34.6537,147.9109,2015-06-16,66.29999999999973,2015-06-01,GW400130,583475,6164979,2015-06-11
11,-34.60038,148.01662,2015-06-16,64.69999999999982,2015-06-01,Dinyah_shallow,593219,6170802.171,2015-06-12
11,-34.60041,148.01663,2015-06-16,64.69999999999982,2015-06-01,Dinyah_deep,593220,6170798.835,2015-06-12
70,-34.92968,148.16614,2015-06-16,78.29999999999973,2015-06-01,Coolac,606506,6134134.477,2015-06-10
13,-34.5988,148.0802,2015-06-16,65.19999999999982,2015-06-01,GW400251,599052,6170914,2015-06-11
13,-34.5988,148.0802,2015-06-16,65.19999999999982,2015-06-01,GW400253,599051,6170914,2015-06-11
13,-34.5988,148.0802,2015-06-16,65.19999999999982,2015-06-01,GW400251,599052,6170914,2015-06-11
13,-34.5988,148.0802,2015-06-16,65.19999999999982,2015-06-01,GW400253,599051,6170914,2015-06-11
