Bore.ID,Easting,Northing,Latitude,Longitude,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity
GW400559,597735,6146023,-34.8243,148.0728,3/12/2013,3.05,8,304,1.24355,6.647909,3,Sbs,98,1670
GW400560,597927,6145945,-34.8241,148.0708,3/12/2013,2.22,14,304,0.502662,9.297188,4,Sws,37.4,5970
GW400563,596874,6150629,-34.7819,148.0588,3/12/2013,1.47,14,313,1.457451,6.715132,3,Sbs,33.7,6870
GW400564,596533,6150302,-34.7849,148.0551,3/12/2013,2.05,16.5,325,2.200544,6.574702,2,Dcc,1.9,13510
GW400552,604835,6154803,-34.7435,148.1453,4/12/2013,0.21,8,417,5.93511,5.478523,1,Cj,64.1,2650
GW400555,604940,6155155,-34.7403,148.1464,4/12/2013,3.66,10.5,421,2.718057,6.011496,2,Cj,18,1630
GW400550,595537,6174223,-34.5693,148.0415,4/12/2013,0,17,370,0.929375,6.87526,3,Sbs,29,3370
GW400551,595384,6174190,-34.5696,148.0398,4/12/2013,1.68,4,371,2.004911,5.878403,2,Sbs,21.2,2950
GW400548,595812,6174131,-34.5701,148.0445,4/12/2013,0,15.5,375,2.141957,6.05646,0,Qa,34.3,4660
GW400130,583475,6164979,-34.6537,147.9109,4/12/2013,NA,13.35,447,2.694556,6.688941,3,Sfv,1.9,NA
Coolac,606506,6134134,-34.92968,148.16614,2/12/2013,4.5,15.1,239,0.587074,8.431359,4,Qa,98,2040
GW400559,597735,6146023,-34.8243,148.0728,29/01/2014,3.35,8,304,1.24355,6.647909,3,Sbs,37.4,2720
GW400560,597927,6145945,-34.8241,148.0708,29/01/2014,2.42,14,304,0.502662,9.297188,4,Sws,33.7,6030
GW400563,596874,6150629,-34.7819,148.0588,29/01/2014,1.7,14,313,1.457451,6.715132,3,Sbs,51.9,6790
GW400564,596533,6150302,-34.7849,148.0551,29/01/2014,2.25,16.5,325,2.200544,6.574702,2,Dcc,73.2,13670
GW400552,604835,6154803,-34.7435,148.1453,29/01/2014,0.29,8,417,5.93511,5.478523,1,Cj,14.1,2520
GW400555,604940,6155155,-34.7403,148.1464,29/01/2014,4.14,10.5,421,2.718057,6.011496,2,Cj,18.1,1528
GW400550,595537,6174223,-34.5693,148.0415,29/01/2014,0,17,370,0.929375,6.87526,3,Sbs,14.5,3340
GW400551,595384,6174190,-34.5696,148.0398,29/01/2014,2.46,4,371,2.004911,5.878403,2,Sbs,34,2830
GW400548,595812,6174131,-34.5701,148.0445,29/01/2014,0.29,15.5,375,2.141957,6.05646,0,Qa,90.8,4600
GW400130,583475,6164979,-34.6537,147.9109,30/01/2014,0.505,13.35,447,2.694556,6.688941,3,Sfv,34.8,5760
Dinyah_shallow,593219,6170802,-34.60038,148.01662,31/01/2014,3.07,5.02,344,0.663079,7.60262,5,Qa,26.6,10310
Dinyah_deep,593220,6170799,-34.60041,148.01663,31/01/2014,2.72,18.5,344,0.728016,7.308076,5,Qa,51.9,4690
Coolac,606506,6134134,-34.92968,148.16614,30/01/2014,4.5,15.1,239,0.587074,8.431359,4,Qa,73.2,1980
GW400559,597735,6146023,-34.8243,148.0728,15/03/2014,3.41,8,304,1.24355,6.647909,3,Sbs,14.1,4780
GW400560,597927,6145945,-34.8241,148.0708,15/03/2014,2.5,14,304,0.502662,9.297188,4,Sws,18.1,5980
GW400563,596874,6150629,-34.7819,148.0588,16/03/2014,1.7,14,313,1.457451,6.715132,3,Sbs,14.5,7080
GW400564,596533,6150302,-34.7849,148.0551,22/03/2014,2.36,16.5,325,2.200544,6.574702,2,Dcc,34,15040
GW400552,604835,6154803,-34.7435,148.1453,15/03/2014,1.35,8,417,5.93511,5.478523,1,Cj,90.8,2530
GW400555,604940,6155155,-34.7403,148.1464,15/03/2014,4.14,10.5,421,2.718057,6.011496,2,Cj,34.8,1526
GW400550,595537,6174223,-34.5693,148.0415,21/03/2014,0,17,370,0.929375,6.87526,3,Sbs,26.6,3500
GW400551,595384,6174190,-34.5696,148.0398,21/03/2014,1.82,4,371,2.004911,5.878403,2,Sbs,51.9,2850
GW400548,595812,6174131,-34.5701,148.0445,21/03/2014,0.58,15.5,375,2.141957,6.05646,0,Qa,42.4,4670
GW400130,583475,6164979,-34.6537,147.9109,16/03/2014,0.455,13.35,447,2.694556,6.688941,3,Sfv,42.4,6080
Dinyah_shallow,593219,6170802,-34.60038,148.01662,21/03/2014,3.25,5.02,344,0.663079,7.60262,5,Qa,44.7,10070
Dinyah_deep,593220,6170799,-34.60041,148.01663,21/03/2014,2.76,18.5,344,0.728016,7.308076,5,Qa,76,5080
Coolac,606506,6134134,-34.92968,148.16614,15/03/2014,4.88,15.1,239,0.587074,8.431359,4,Qa,18.1,2000
GW400559,597735,6146023,-34.8243,148.0728,23/05/2014,3.49,8,304,1.24355,6.647909,3,Sbs,23.2,4190
GW400560,597927,6145945,-34.8241,148.0708,23/05/2014,2.59,14,304,0.502662,9.297188,4,Sws,44.7,5140
GW400563,596874,6150629,-34.7819,148.0588,23/05/2014,1.9,14,313,1.457451,6.715132,3,Sbs,76,5770
GW400564,596533,6150302,-34.7849,148.0551,23/05/2014,2.43,16.5,325,2.200544,6.574702,2,Dcc,13.4,12010
GW400552,604835,6154803,-34.7435,148.1453,23/05/2014,0.55,8,417,5.93511,5.478523,1,Cj,18.1,2090
GW400555,604940,6155155,-34.7403,148.1464,23/05/2014,4.15,10.5,421,2.718057,6.011496,2,Cj,13.1,1070
GW400550,595537,6174223,-34.5693,148.0415,22/05/2014,0,17,370,0.929375,6.87526,3,Sbs,35.1,2810
GW400551,595384,6174190,-34.5696,148.0398,22/05/2014,1.59,4,371,2.004911,5.878403,2,Sbs,82.9,2280
GW400548,595812,6174131,-34.5701,148.0445,22/05/2014,0.55,15.5,375,2.141957,6.05646,0,Qa,35.2,3820
GW400130,583475,6164979,-34.6537,147.9109,24/05/2014,0.395,13.35,447,2.694556,6.688941,3,Sfv,23.2,4910
Dinyah_shallow,593219,6170802,-34.60038,148.01662,24/05/2014,2.96,5.02,344,0.663079,7.60262,5,Qa,44.7,7900
Dinyah_deep,593220,6170799,-34.60041,148.01663,24/05/2014,2.37,18.5,344,0.728016,7.308076,5,Qa,13.4,4180
Coolac,606506,6134134,-34.92968,148.16614,23/05/2014,4.51,15.1,239,0.587074,8.431359,4,Qa,13.1,1690
GW400559,597735,6146023,-34.8243,148.0728,21/07/2014,3.54,8,304,1.24355,6.647909,3,Sbs,35.1,4833
GW400560,597927,6145945,-34.8241,148.0708,22/07/2014,2.64,14,304,0.502662,9.297188,4,Sws,82.9,5730
GW400563,596874,6150629,-34.7819,148.0588,22/07/2014,1.9,14,313,1.457451,6.715132,3,Sbs,35.2,6690
GW400564,596533,6150302,-34.7849,148.0551,22/07/2014,2.54,16.5,325,2.200544,6.574702,2,Dcc,44.7,13942
GW400552,604835,6154803,-34.7435,148.1453,21/07/2014,0.17,8,417,5.93511,5.478523,1,Cj,67.4,2326
GW400555,604940,6155155,-34.7403,148.1464,21/07/2014,2.62,10.5,421,2.718057,6.011496,2,Cj,25.6,810
