Bore.ID,Easting,Northing,Latitude.x,Longitude.x,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity,Longitude.y,Latitude.y,Completed Depth
GW007110,587955,6167618,-34.6296,147.9595,1/11/1996,0,20.7,388,0.393044,8.95891,3,Sfv,53.6,NA,147.9595,34.6296,20.7
GW007115,585984,6166558,-34.6393,147.9382,1/11/1996,0,30.8,409,1.83784,6.5029502,3,Sfv,53.6,NA,147.9382,34.6393,30.8
GW007530,598029,6173924,-34.5718,148.0687,8/07/1998,2.2,19.8,419,2.54354,5.6463599,2,Sbs,106.9,NA,148.0687,34.5718,19.8
GW007531,598793,6171483,-34.5937,148.0773,20/04/2004,2.75,33.2,395,3.18401,5.7307901,2,Sbs,4.3,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,20/03/2002,1.56,33.2,395,3.18401,5.7307901,2,Sbs,27.2,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,28/10/2003,1.34,33.2,395,3.18401,5.7307901,2,Sbs,51.9,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,24/10/2006,2.58,33.2,395,3.18401,5.7307901,2,Sbs,0,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,23/10/2001,0.8,33.2,395,3.18401,5.7307901,2,Sbs,51,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,3/04/2001,1.03,33.2,395,3.18401,5.7307901,2,Sbs,55.8,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,16/10/2002,1.05,33.2,395,3.18401,5.7307901,2,Sbs,1.2,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,20/10/2004,1.9,33.2,395,3.18401,5.7307901,2,Sbs,37.3,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,15/04/2003,13.2,33.2,395,3.18401,5.7307901,2,Sbs,31.7,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,12/04/2005,2.97,33.2,395,3.18401,5.7307901,2,Sbs,5.1,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,11/04/2006,2.62,33.2,395,3.18401,5.7307901,2,Sbs,15.8,NA,148.0773,34.5937,33.2
GW007531,598793,6171483,-34.5937,148.0773,18/10/2005,1.3,33.2,395,3.18401,5.7307901,2,Sbs,63,NA,148.0773,34.5937,33.2
GW011826,587862,6136657,-34.9087,147.9618,25/11/1996,2,7.3,482,1.66509,6.9900999,3,Qr/Sgmy,59.5,NA,147.9618,34.9087,7.3
GW014595,598939,6158942,-34.7068,148.0804,19/05/1983,3.63,13.1,320,0.739595,7.92557,4,Qa,130.8,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,16/02/1979,3.97,13.1,320,0.739595,7.92557,4,Qa,4.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,18/02/1983,5.18,13.1,320,0.739595,7.92557,4,Qa,43,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,19/03/1982,4.27,13.1,320,0.739595,7.92557,4,Qa,107.7,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,19/02/1985,1.1,13.1,320,0.739595,7.92557,4,Qa,1,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,19/02/1981,5.29,13.1,320,0.739595,7.92557,4,Qa,76.2,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,18/10/1983,0,13.1,320,0.739595,7.92557,4,Qa,79.5,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,19/05/1980,5.37,13.1,320,0.739595,7.92557,4,Qa,96.6,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,17/09/1979,4.67,13.1,320,0.739595,7.92557,4,Qa,53,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,17/06/1981,5.65,13.1,320,0.739595,7.92557,4,Qa,123.8,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,17/01/1980,5.02,13.1,320,0.739595,7.92557,4,Qa,48.4,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,19/06/1978,0,13.1,320,0.739595,7.92557,4,Qa,61.5,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,16/07/1979,4.58,13.1,320,0.739595,7.92557,4,Qa,19.1,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,24/04/1984,0.74,13.1,320,0.739595,7.92557,4,Qa,109.2,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,16/02/1978,4.83,13.1,320,0.739595,7.92557,4,Qa,0.1,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,15/10/1984,0,13.1,320,0.739595,7.92557,4,Qa,62.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,15/09/1981,2.24,13.1,320,0.739595,7.92557,4,Qa,28.5,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,15/02/1974,7.41,13.1,320,0.739595,7.92557,4,Qa,67.7,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,16/10/1979,0,13.1,320,0.739595,7.92557,4,Qa,31.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,27/05/1981,5.6,13.1,320,0.739595,7.92557,4,Qa,59.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,13/01/1981,4.99,13.1,320,0.739595,7.92557,4,Qa,55.2,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,15/01/1999,0,13.1,320,0.739595,7.92557,4,Qa,95.7,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,31/10/1974,0.47,13.1,320,0.739595,7.92557,4,Qa,187.8,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,29/08/1989,0,13.1,320,0.739595,7.92557,4,Qa,65.9,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,29/08/1980,5.24,13.1,320,0.739595,7.92557,4,Qa,46.4,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,29/06/1982,4.51,13.1,320,0.739595,7.92557,4,Qa,26.6,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,29/05/1984,0.87,13.1,320,0.739595,7.92557,4,Qa,17.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,23/07/1984,0.6,13.1,320,0.739595,7.92557,4,Qa,154.5,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,28/09/1982,4.63,13.1,320,0.739595,7.92557,4,Qa,48.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,20/04/1982,4.28,13.1,320,0.739595,7.92557,4,Qa,14.2,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,26/03/1981,5.49,13.1,320,0.739595,7.92557,4,Qa,13.9,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,26/02/1980,5.18,13.1,320,0.739595,7.92557,4,Qa,27.5,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,25/11/1987,0,13.1,320,0.739595,7.92557,4,Qa,21.7,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,25/05/1982,4.42,13.1,320,0.739595,7.92557,4,Qa,3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,24/03/1987,0.75,13.1,320,0.739595,7.92557,4,Qa,48.7,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,23/07/1982,4.54,13.1,320,0.739595,7.92557,4,Qa,2.4,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,22/09/1980,5.3,13.1,320,0.739595,7.92557,4,Qa,37.2,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,21/12/1977,4.52,13.1,320,0.739595,7.92557,4,Qa,1.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,29/01/1982,3.94,13.1,320,0.739595,7.92557,4,Qa,12.4,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,14/12/1982,4.93,13.1,320,0.739595,7.92557,4,Qa,20.6,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,8/07/1980,5.34,13.1,320,0.739595,7.92557,4,Qa,69.4,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,6/11/1979,0,13.1,320,0.739595,7.92557,4,Qa,23.9,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,6/08/1979,4.57,13.1,320,0.739595,7.92557,4,Qa,48.7,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,5/10/1978,0,13.1,320,0.739595,7.92557,4,Qa,44.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,5/05/1978,0,13.1,320,0.739595,7.92557,4,Qa,101.2,NA,148.0804,34.7068,13.1
