"","Bore.ID","Easting","Northing","Latitude","Longitude"
"1","GW007110",587955,6167618,-34.6296,147.9595
"2","GW007115",585984,6166558,-34.6393,147.9382
"3","GW007530",598029,6173924,-34.5718,148.0687
"4","GW007531",598793,6171483,-34.5937,148.0773
"16","GW011826",587862,6136657,-34.9087,147.9618
"17","GW014595",598939,6158942,-34.7068,148.0804
"94","GW014742",603490,6140622,-34.8715,148.1323
"95","GW020020",599025,6171727,-34.5915,148.0798
"99","GW020081",599709,6159581,-34.7009,148.0887
"202","GW020352",599045,6159372,-34.7029,148.0815
"281","GW020775",599834,6152308,-34.7665,148.0909
"283","GW021206",589552,6169512,-34.6123,147.9768
"286","GW022280",602497,6165465,-34.6476,148.1184
"404","GW022543",599743,6174553,-34.5659,148.0873
"405","GW022544",596983,6173843,-34.5726,148.0573
"406","GW022545",597707,6174821,-34.5637,148.0651
"407","GW023305",583581,6162698,-34.6743,147.9123
"412","GW023562",585502,6166717,-34.6379,147.9329
"413","GW024025",587857,6157329,-34.7223,147.9595
"417","GW024097",589080,6162893,-34.6721,147.9723
"418","GW025269",592388,6132484,-34.9459,148.0118
"420","GW025453",599651,6133147,-34.9393,148.0912
"429","GW025481",600394,6147773,-34.8073,148.0976
"443","GW025532",585246,6166626,-34.6387,147.9301
"446","GW025708",583140,6161778,-34.6826,147.9076
"478","GW025931",592782,6166523,-34.639,148.0123
"481","GW028898",588761,6164098,-34.6612,147.9687
"482","GW029377",598932,6158295,-34.7126,148.0804
"496","GW029845",597570,6140286,-34.8751,148.0676
"510","GW031564",602880,6160994,-34.6879,148.1232
"615","GW031565",600784,6160124,-34.6959,148.1004
"733","GW031566",600764,6160648,-34.6912,148.1001
"855","GW031568",602470,6160721,-34.6904,148.1187
"948","GW031651",610233,6137585,-34.8982,148.2065
"949","GW033353",586028,6160304,-34.6957,147.9393
"956","GW034731",587179,6134168,-34.9312,147.9546
"957","GW044124",595594,6172564,-34.5843,148.0423
"958","GW046825",601516,6161933,-34.6796,148.1082
"1076","GW046826",602355,6164173,-34.6593,148.117
"1200","GW046827",602270,6163373,-34.6665,148.1162
"1324","GW052375",599917,6157637,-34.7184,148.0912
