"","Bore.ID","Easting","Northing","Latitude","Longitude"
"1","GW400559",597735,6146023,-34.8243,148.0728
"2","GW400560",597927,6145945,-34.8241,148.0708
"3","GW400563",596874,6150629,-34.7819,148.0588
"4","GW400564",596533,6150302,-34.7849,148.0551
"5","GW400552",604835,6154803,-34.7435,148.1453
"6","GW400555",604940,6155155,-34.7403,148.1464
"7","GW400550",595537,6174223,-34.5693,148.0415
"8","GW400551",595384,6174190,-34.5696,148.0398
"9","GW400548",595812,6174131,-34.5701,148.0445
"10","GW400130",583475,6164979,-34.6537,147.9109
"11","Coolac",606506,6134134,-34.92968,148.16614
"22","Dinyah_shallow",593219,6170802,-34.60038,148.01662
"23","Dinyah_deep",593220,6170799,-34.60041,148.01663
"64","GW400129",583489,6164991,-34.6536,147.9111
"65","GW400561",597735,6146023,-34.8234,148.0687
"92","GW400251",599052,6170914,-34.5988,148.0802
"93","GW400253",599051,6170914,-34.5988,148.0802
"94","GW400255",598686,6169984,-34.6072,148.0763
"95","GW400256",598685,6169984,-34.6072,148.0763
"113","Dinyah_Hopes 7: Deep",592343,6173867.516,-34.57282,148.00674
"114","Dinyah_Hopes 7: shallow",592269,6173718.531,-34.57417,148.00595
"115","Dinyah_Lane way",592937,6172178.021,-34.588,148.0134
"116","Dinayh _Near house",593085,6171843.816,-34.591,148.01505
